"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》用户数据权限分配获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","订单管理》订单管理查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","基础档案》费用项档案获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict运输公司查询接口测试包","ict运输公司查询接口测试模块","运输公司端查询接口","","","权限管理》用户管理获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","用户设置》默认输出模板获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","应收管理》对账单合计数据获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","用户中心》账号交易充值记录查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》模板制作获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","消息》WEB消息订阅获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","询价管理》询价管理查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","报价管理》职业监理报价获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","报价管理》自有司机报价获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","基础档案》个体司机税率档案获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》系统配置获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","费用中心》应付账单查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","基础档案》监理档案获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","标准档案》内部档案获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","费用中心》费用查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","报价管理》货主市场报价获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","查询报价》厢式车运输报价获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","认证审核》货主认证审核获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》内容管理获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","运营策略》区域规划获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台文件管理》文件管理查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","推广活动》推广活动档案获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","标准档案》系统字典获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","通知》邮件日志获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","费用中心》月账单查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","报价管理》附加费获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台工作看板》坪山项目日报表","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台工作看板》客户数据","用例描述"
